Temperature, Year, Month_Avg, Country, Country_Code
0.01(C) 32.03(F), 2011, Mar, China, CHN
0.48(C) 32.87(F), 2013, Nov, China, CHN
0.53(C) 32.95(F), 2008, Nov, China, CHN
0.54(C) 32.96(F), 2015, Nov, China, CHN
0.58(C) 33.04(F), 2007, Nov, China, CHN
0.62(C) 33.12(F), 2012, Mar, China, CHN
0.64(C) 33.15(F), 2004, Nov, China, CHN
0.74(C) 33.33(F), 2010, Mar, China, CHN
0.87(C) 33.56(F), 2014, Nov, China, CHN
1.01(C) 33.81(F), 2001, Nov, China, CHN
1.01(C) 33.82(F), 2010, Nov, China, CHN
1.01(C) 33.82(F), 2005, Nov, China, CHN
1.24(C) 34.23(F), 2011, Nov, China, CHN
1.25(C) 34.24(F), 2006, Nov, China, CHN
1.26(C) 34.26(F), 2000, Mar, China, CHN
1.31(C) 34.36(F), 2005, Mar, China, CHN
1.35(C) 34.44(F), 2003, Mar, China, CHN
1.53(C) 34.76(F), 2001, Mar, China, CHN
1.69(C) 35.04(F), 2006, Mar, China, CHN
1.83(C) 35.3(F), 2009, Mar, China, CHN
1.86(C) 35.35(F), 2007, Mar, China, CHN
2.2(C) 35.96(F), 2004, Mar, China, CHN
2.42(C) 36.35(F), 2014, Mar, China, CHN
2.54(C) 36.57(F), 2015, Mar, China, CHN
2.61(C) 36.7(F), 2013, Mar, China, CHN
2.8(C) 37.04(F), 2016, Mar, China, CHN
3.04(C) 37.47(F), 2002, Mar, China, CHN
3.58(C) 38.45(F), 2008, Mar, China, CHN
6.68(C) 44.03(F), 2010, Apr, China, CHN
7.04(C) 44.67(F), 2000, Oct, China, CHN
7.12(C) 44.82(F), 2002, Oct, China, CHN
7.46(C) 45.42(F), 2012, Oct, China, CHN
7.51(C) 45.52(F), 2004, Oct, China, CHN
7.6(C) 45.68(F), 2016, Oct, China, CHN
7.79(C) 46.02(F), 2010, Oct, China, CHN
7.85(C) 46.13(F), 2007, Oct, China, CHN
7.86(C) 46.15(F), 2003, Oct, China, CHN
7.9(C) 46.21(F), 2013, Apr, China, CHN
7.98(C) 46.36(F), 2001, Apr, China, CHN
8.04(C) 46.47(F), 2005, Oct, China, CHN
8.12(C) 46.62(F), 2006, Apr, China, CHN
8.26(C) 46.87(F), 2000, Apr, China, CHN
8.3(C) 46.94(F), 2011, Oct, China, CHN
8.31(C) 46.95(F), 2013, Oct, China, CHN
8.34(C) 47.02(F), 2015, Oct, China, CHN
8.4(C) 47.13(F), 2003, Apr, China, CHN
8.43(C) 47.17(F), 2008, Oct, China, CHN
8.45(C) 47.22(F), 2001, Oct, China, CHN
8.46(C) 47.22(F), 2014, Oct, China, CHN
8.58(C) 47.45(F), 2002, Apr, China, CHN
8.69(C) 47.64(F), 2009, Oct, China, CHN
8.69(C) 47.65(F), 2015, Apr, China, CHN
8.74(C) 47.73(F), 2007, Apr, China, CHN
8.88(C) 47.98(F), 2005, Apr, China, CHN
8.93(C) 48.07(F), 2011, Apr, China, CHN
9.07(C) 48.33(F), 2012, Apr, China, CHN
9.08(C) 48.34(F), 2008, Apr, China, CHN
9.17(C) 48.5(F), 2006, Oct, China, CHN
9.32(C) 48.77(F), 2014, Apr, China, CHN
9.53(C) 49.16(F), 2004, Apr, China, CHN
9.54(C) 49.16(F), 2016, Apr, China, CHN
9.62(C) 49.32(F), 2009, Apr, China, CHN
