Temperature, Year, Month_Avg, Country, Country_Code
10.0(C) 49.99(F), 2013, Nov, Chile, CHL
10.0(C) 49.99(F), 2004, Dec, Morocco, MAR
10.0(C) 50.0(F), 2014, Oct, Moldova, MDA
10.0(C) 50.01(F), 2002, Nov, Turkmenistan, TKM
10.01(C) 50.01(F), 2001, Apr, Republic, of
10.01(C) 50.01(F), 2006, Oct, Switzerland, CHE
10.01(C) 50.02(F), 2007, Sep, Switzerland, CHE
10.01(C) 50.02(F), 2012, Mar, Bhutan, BTN
10.01(C) 50.02(F), 2016, Jan, Iraq, IRQ
10.02(C) 50.04(F), 2000, Nov, Nepal, NPL
10.02(C) 50.04(F), 2004, Oct, Poland, POL
10.03(C) 50.05(F), 2000, Jul, Faroe, Islands
10.03(C) 50.05(F), 2007, Oct, Netherlands, NLD
10.03(C) 50.05(F), 2006, Sep, Finland, FIN
10.03(C) 50.05(F), 2009, Jan, Pakistan, PAK
10.03(C) 50.05(F), 2002, Oct, Romania, ROU
10.03(C) 50.06(F), 2013, Nov, Turkmenistan, TKM
10.04(C) 50.06(F), 2006, Nov, Andorra, AND
10.04(C) 50.07(F), 2015, Mar, Bhutan, BTN
10.04(C) 50.07(F), 2004, Oct, Czech, Republic
10.04(C) 50.07(F), 2007, Apr, Kazakhstan, KAZ
10.04(C) 50.07(F), 2013, Mar, Nepal, NPL
10.04(C) 50.07(F), 2016, Oct, Belgium, BEL
10.04(C) 50.08(F), 2003, Mar, Syria, SYR
10.04(C) 50.08(F), 2012, Dec, Portugal, PRT
10.05(C) 50.08(F), 2012, Aug, Argentina, ARG
10.05(C) 50.08(F), 2001, Sep, Kyrgyzstan, KGZ
10.05(C) 50.09(F), 2007, Apr, Slovakia, SVK
10.05(C) 50.09(F), 2000, Apr, France, FRA
10.05(C) 50.09(F), 2013, Oct, New, Zealand
10.05(C) 50.09(F), 2013, Apr, Republic, of
10.06(C) 50.1(F), 2016, Jun, Norway, NOR
10.06(C) 50.11(F), 2005, May, Ireland, IRL
10.06(C) 50.11(F), 2010, Oct, Ireland, IRL
10.06(C) 50.12(F), 2004, Apr, Turkey, TUR
10.06(C) 50.12(F), 2015, Feb, Morocco, MAR
10.07(C) 50.12(F), 2003, Apr, Belgium, BEL
10.07(C) 50.12(F), 2005, Dec, Syria, SYR
10.08(C) 50.14(F), 2016, Dec, Portugal, PRT
10.08(C) 50.14(F), 2000, Apr, Armenia, ARM
10.08(C) 50.15(F), 2014, Sep, Mongolia, MNG
10.09(C) 50.16(F), 2013, May, Austria, AUT
10.09(C) 50.16(F), 2000, Apr, Belgium, BEL
10.09(C) 50.16(F), 2000, Feb, Cyprus, CYP
10.09(C) 50.16(F), 2004, Jan, Portugal, PRT
10.09(C) 50.16(F), 2011, Mar, Bhutan, BTN
10.09(C) 50.17(F), 2004, Oct, Slovakia, SVK
10.09(C) 50.17(F), 2012, Nov, Albania, ALB
10.09(C) 50.17(F), 2004, Oct, Armenia, ARM
10.1(C) 50.17(F), 2006, Mar, Spain, ESP
10.1(C) 50.18(F), 2012, Dec, Lebanon, LBN
10.1(C) 50.18(F), 2008, Feb, Cyprus, CYP
10.1(C) 50.18(F), 2014, Apr, Poland, POL
10.1(C) 50.18(F), 2015, Apr, Bulgaria, BGR
10.1(C) 50.18(F), 2014, Dec, Pakistan, PAK
10.1(C) 50.18(F), 2005, Apr, New, Zealand
10.1(C) 50.18(F), 2002, Nov, Spain, ESP
10.1(C) 50.18(F), 2006, Jun, Norway, NOR
10.1(C) 50.18(F), 2003, Apr, Hungary, HUN
10.1(C) 50.19(F), 2014, Apr, Macedonia, MKD
10.11(C) 50.19(F), 2013, Oct, Czech, Republic
10.11(C) 50.19(F), 2015, Oct, Belgium, BEL
10.11(C) 50.19(F), 2011, Oct, New, Zealand
10.11(C) 50.2(F), 2001, Nov, Turkmenistan, TKM
10.11(C) 50.2(F), 2010, Dec, Syria, SYR
10.11(C) 50.2(F), 2016, Feb, Portugal, PRT
10.12(C) 50.21(F), 2007, Oct, Romania, ROU
10.12(C) 50.21(F), 2011, Nov, Lebanon, LBN
10.12(C) 50.21(F), 2005, Aug, Canada, CAN
10.12(C) 50.21(F), 2009, Mar, Afghanistan, AFG
10.12(C) 50.22(F), 2016, Oct, Uzbekistan, UZB
10.12(C) 50.22(F), 2010, Jan, Lebanon, LBN
10.12(C) 50.22(F), 2003, Nov, Italy, ITA
10.12(C) 50.22(F), 2015, Jun, Sweden, SWE
10.13(C) 50.23(F), 2009, Mar, Spain, ESP
10.13(C) 50.23(F), 2008, Apr, Kazakhstan, KAZ
10.13(C) 50.23(F), 2015, May, Denmark, DNK
10.13(C) 50.23(F), 2012, Mar, Nepal, NPL
10.13(C) 50.23(F), 2004, Nov, Chile, CHL
10.13(C) 50.23(F), 2006, Oct, Austria, AUT
10.13(C) 50.24(F), 2002, Jun, Faroe, Islands
10.13(C) 50.24(F), 2013, Sep, Finland, FIN
10.13(C) 50.24(F), 2000, Mar, Chile, CHL
10.14(C) 50.24(F), 2014, Feb, Pakistan, PAK
10.14(C) 50.24(F), 2012, Jul, Faroe, Islands
10.14(C) 50.25(F), 2003, Jun, Norway, NOR
10.14(C) 50.25(F), 2008, Oct, Netherlands, NLD
10.14(C) 50.25(F), 2014, Feb, Syria, SYR
10.14(C) 50.26(F), 2007, Apr, New, Zealand
10.14(C) 50.26(F), 2010, Nov, Turkey, TUR
10.14(C) 50.26(F), 2016, Mar, Bhutan, BTN
10.14(C) 50.26(F), 2015, Oct, United, States
10.15(C) 50.26(F), 2010, May, Austria, AUT
10.15(C) 50.27(F), 2003, Nov, Spain, ESP
10.15(C) 50.27(F), 2014, Jul, Iceland, ISL
10.15(C) 50.27(F), 2009, Oct, Georgia, GEO
10.15(C) 50.28(F), 2002, Oct, Moldova, MDA
10.15(C) 50.28(F), 2004, Apr, Azerbaijan, AZE
10.16(C) 50.28(F), 2013, Jan, Jordan, JOR
10.16(C) 50.28(F), 2002, Apr, Moldova, MDA
10.16(C) 50.28(F), 2007, Dec, Iraq, IRQ
10.16(C) 50.29(F), 2010, Apr, Ukraine, UKR
10.16(C) 50.29(F), 2009, May, Lesotho, LSO
10.16(C) 50.29(F), 2012, May, Kyrgyzstan, KGZ
10.16(C) 50.3(F), 2002, Sep, Switzerland, CHE
10.16(C) 50.3(F), 2015, Nov, Italy, ITA
10.16(C) 50.3(F), 2003, Oct, Monaco, MCO
10.17(C) 50.3(F), 2010, Apr, Bosnia, and
10.17(C) 50.3(F), 2016, Oct, Republic, of
10.18(C) 50.32(F), 2008, Mar, Bhutan, BTN
10.18(C) 50.32(F), 2004, Apr, Netherlands, NLD
10.18(C) 50.32(F), 2005, May, Switzerland, CHE
10.18(C) 50.33(F), 2000, May, Argentina, ARG
10.18(C) 50.33(F), 2002, Feb, Lebanon, LBN
10.18(C) 50.33(F), 2001, Jul, Faroe, Islands
10.19(C) 50.34(F), 2010, Sep, Switzerland, CHE
10.19(C) 50.34(F), 2006, Oct, Ukraine, UKR
10.19(C) 50.34(F), 2002, Mar, Spain, ESP
10.19(C) 50.34(F), 2014, May, Austria, AUT
10.19(C) 50.34(F), 2016, Oct, United, States
10.19(C) 50.34(F), 2006, Oct, Korea., Democratic
10.19(C) 50.34(F), 2014, Apr, Slovakia, SVK
10.19(C) 50.34(F), 2005, Aug, Lesotho, LSO
10.19(C) 50.35(F), 2011, Dec, Pakistan, PAK
10.2(C) 50.35(F), 2013, Dec, Morocco, MAR
10.2(C) 50.36(F), 2007, May, Kyrgyzstan, KGZ
10.21(C) 50.38(F), 2011, Oct, Bosnia, and
10.21(C) 50.38(F), 2013, Sep, Mongolia, MNG
10.21(C) 50.38(F), 2002, Apr, Republic, of
10.21(C) 50.39(F), 2004, Aug, Iceland, ISL
10.21(C) 50.39(F), 2007, Jun, Liechtenstein, LIE
10.22(C) 50.39(F), 2007, Dec, Pakistan, PAK
10.22(C) 50.39(F), 2016, Apr, Slovenia, SVN
10.22(C) 50.4(F), 2002, Mar, Nepal, NPL
10.22(C) 50.4(F), 2002, Feb, Syria, SYR
10.22(C) 50.4(F), 2000, Mar, Spain, ESP
10.23(C) 50.41(F), 2003, Oct, Georgia, GEO
